dataset;strategy;length_or_k;method;accuracy;f1_score;train_size;test_size;status;grid_search_time;rf_max_depth;rf_max_features;rf_min_samples_leaf;rf_min_samples_split;rf_n_estimators
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;100;ACF;0.66197812;0.564211622;22605;4479;Success;158.523.375;10;log2;1;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;125;OHE;0.682926829;0.554259456;19398;3567;Success;6.414.471.602;10;log2;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;125;Bigram;0.682646482;0.564201416;19398;3567;Success;1.990.359.855;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;125;W2V;0.684328567;0.568122052;19398;3567;Success;1.322.313.786;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;125;D2V;0.680964396;0.56443162;19398;3567;Success;1.920.882.912;10;log2;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;125;BERT;0.676478834;0.563805928;19398;3567;Success;212.026.232;10;sqrt;2;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;125;ACF;0.677880572;0.575003369;19398;3567;Success;1.502.595.029;10;log2;1;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;150;OHE;0.691239316;0.565043383;16765;2808;Success;5.879.978.657;10;log2;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;150;Bigram;0.690883191;0.565645205;16765;2808;Success;1.638.842.726;10;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;150;W2V;0.691951567;0.580231186;16765;2808;Success;1.096.051.574;10;log2;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;150;D2V;0.691595442;0.569201346;16765;2808;Success;1.547.994.063;10;log2;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;150;BERT;0.686253561;0.579555048;16765;2808;Success;1.598.487.673;10;log2;2;5;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;150;ACF;0.679487179;0.57546446;16765;2808;Success;1.271.080.401;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;prefix;10;Baseline;0.694444444;0.64646835;552;144;Success;131.986.537;10;sqrt;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;prefix;20;Baseline;0.752293578;0.674862249;389;109;Success;4.884.704.113;20;sqrt;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;prefix;30;Baseline;0.674418605;0.543281654;310;86;Success;4.477.259.398;20;sqrt;2;5;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;40;Baseline;0.702702703;0.609321396;263;74;Success;4.512.973.309;10;log2;1;5;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;50;Baseline;0.733333333;0.634615385;231;60;Success;44.071.877;20;sqrt;1;5;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;75;Baseline;0.636363636;0.501920615;178;44;Success;4.570.541.382;20;sqrt;1;5;200
datasets/BPI_Challenge_2013_incidents.xes;prefix;100;Baseline;0.75;0.642857143;138;40;Success;4.187.634.468;10;sqrt;1;5;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;125;Baseline;0.625;0.480769231;115;32;Success;4.168.030.262;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;prefix;150;Baseline;0.653846154;0.516994633;92;26;Success;5.187.402.725;10;log2;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;10;Baseline;0.6968065;0.633448768;45155;10584;Success;3.308.323.574;10;sqrt;2;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;20;Baseline;0.691219041;0.605854336;40515;9327;Success;4.892.488.694;10;sqrt;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;30;Baseline;0.687724336;0.595290656;36996;8358;Success;4.760.016.704;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;40;Baseline;0.691746285;0.603084611;34110;7536;Success;6.310.170.674;20;log2;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;50;Baseline;0.688019845;0.583046398;31627;6853;Success;6.621.980.953;10;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;75;Baseline;0.680101211;0.558395017;26548;5533;Success;5.414.180.112;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;100;Baseline;0.682518419;0.55760648;22605;4479;Success;5.083.877.754;10;sqrt;2;2;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;125;Baseline;0.683207177;0.55491128;19398;3567;Success;4.746.467.543;10;sqrt;1;5;200
datasets/BPI_Challenge_2013_incidents.xes;sliding_window;150;Baseline;0.691239316;0.565043383;16765;2808;Success;4.608.969.545;10;log2;1;5;200
datasets/BPI_Challenge_2013_incidents.xes;last3;10;Baseline;0.6805555555555556;0.5947582453186607;552;144;Success;6.756.269.931.793.210;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;last3;10;OHE;0.6805555555555556;0.5947582453186607;552;144;Success;34.159.350.395.202.600;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;last3;10;Bigram;0.6944444444444444;0.5922192353643967;552;144;Success;32.810.676.097.869.800;10;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;last3;10;W2V;0.6805555555555556;0.5947582453186607;552;144;Success;4.280.582.904.815.670;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;last3;10;D2V;0.7013888888888888;0.6381206534044962;552;144;Success;5.506.555.080.413.810;10;log2;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;last3;10;BERT;0.6805555555555556;0.5947582453186607;552;144;Success;4.410.068.988.800.040;10;sqrt;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;last3;10;ACF;0.6944444444444444;0.569216757741348;552;144;Success;42.179.741.859.436.000;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;last5;10;Baseline;0.7361111111111112;0.6749162577580604;552;144;Success;3.793.353.319.168.090;10;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;last5;10;OHE;0.7361111111111112;0.6749162577580604;552;144;Success;4.125.594.854.354.850;20;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;last5;10;Bigram;0.7361111111111112;0.6749162577580604;552;144;Success;34.542.481.899.261.400;10;sqrt;2;2;100
datasets/BPI_Challenge_2013_incidents.xes;last5;10;W2V;0.6805555555555556;0.5947582453186607;552;144;Success;34.556.760.787.963.800;10;sqrt;1;2;200
datasets/BPI_Challenge_2013_incidents.xes;last5;10;D2V;0.7083333333333334;0.6354250177779588;552;144;Success;5.649.586.915.969.840;10;log2;1;2;100
datasets/BPI_Challenge_2013_incidents.xes;last5;10;BERT;0.7013888888888888;0.6627416642707162;552;144;Success;695.827.579.498.291;20;log2;2;2;200
