dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,lgbm_colsample_bytree,lgbm_learning_rate,lgbm_max_depth,lgbm_n_estimators,lgbm_subsample
datasets/BPI_Challenge_2017.xes,last10,200,BERT,0.5714285714285714,0.5609977324263038,116,22,Success,41.80793261528015,0.8,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last10,200,ACF,0.3333333333333333,0.3476190476190476,116,22,Success,379.7144093513489,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last20,200,Baseline,0.47619047619047616,0.4158730158730159,116,22,Success,28.611895322799683,1.0,0.05,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last20,200,OHE,0.42857142857142855,0.43386243386243384,116,22,Success,7.016126871109009,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last20,200,Bigram,0.38095238095238093,0.38899196042053186,116,22,Success,21.977593660354614,1.0,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last20,200,W2V,0.6190476190476191,0.5457875457875458,116,22,Success,25.495819807052612,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last20,200,D2V,0.22727272727272727,0.21818181818181823,116,22,Success,33.564597368240356,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last20,200,BERT,0.6666666666666666,0.683068783068783,116,22,Success,36.664026975631714,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last20,200,ACF,0.38095238095238093,0.3571428571428571,116,22,Success,441.7507643699646,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,400,Baseline,0.8181818181818182,0.7961432506887053,113,22,Success,24.347130298614502,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last3,400,OHE,0.2727272727272727,0.18770702981229298,113,22,Success,4.087257623672485,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,400,Bigram,0.18181818181818182,0.09714795008912656,113,22,Success,4.394606351852417,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last3,400,W2V,0.8181818181818182,0.7899449035812672,113,22,Success,31.894286155700684,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last3,400,D2V,0.45454545454545453,0.397047397047397,113,22,Success,38.59409785270691,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last3,400,BERT,0.7727272727272727,0.7713498622589531,113,22,Success,42.24450469017029,0.8,0.1,-1,100,0.8
datasets/BPI_Challenge_2017.xes,last3,400,ACF,0.5454545454545454,0.4621212121212121,113,22,Success,263.44718074798584,1.0,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last5,400,Baseline,0.7272727272727273,0.7258953168044078,113,22,Success,29.868584156036377,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last5,400,OHE,0.45454545454545453,0.32251082251082247,113,22,Success,7.71026086807251,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last5,400,Bigram,0.5,0.4315532951896588,113,22,Success,6.990783452987671,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last5,400,W2V,0.8181818181818182,0.7899449035812672,113,22,Success,33.978715658187866,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last5,400,D2V,0.5454545454545454,0.48691460055096414,113,22,Success,42.040483713150024,0.8,0.05,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last5,400,BERT,0.8181818181818182,0.7899449035812672,113,22,Success,39.6947705745697,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last5,400,ACF,0.8181818181818182,0.7621212121212122,113,22,Success,390.5622777938843,0.8,0.05,-1,50,0.8
datasets/BPI_Challenge_2017.xes,last10,400,Baseline,0.8181818181818182,0.8126721763085399,113,22,Success,31.630432605743408,0.8,0.1,-1,200,0.8
datasets/BPI_Challenge_2017.xes,last10,400,OHE,0.5909090909090909,0.515702479338843,113,22,Success,5.460509777069092,0.8,0.05,-1,50,0.8
